tick,total_food,total_marine_snow,total_co2
1,2.77,1.84,-0.23
2,4.98,3.08,-0.56
3,7.56,4.74,-0.43
4,10.91,6.05,-0.17
5,14.16,7.15,0.05
6,16.85,8.47,0.11
7,20.3,9.69,0.3
8,23.23,11.08,0.09
9,25.69,12.29,0.15
10,28.62,13.66,0.26
11,30.56,15.23,0.25
12,32.62,16.76,0.11
13,36.26,18.06,0.1
14,37.7,19.47,0.04
15,40.33,20.41,0.21
16,43.84,22.06,0.31
17,46.65,23.15,0.22
18,48.67,24.25,0.17
19,51.4,25.64,0.33
20,54.35,26.83,0.34
21,57.18,28.16,0.49
22,60.98,29.65,0.59
23,63.43,31.02,0.45
24,66.75,32.19,0.38
25,69.77,33.11,0.36
26,71.67,34.31,0.16
27,74.94,35.81,0.22
28,77.42,37.07,0.1
29,80.19,38.82,-0.01
30,81.95,39.43,-0.16
31,84.51,41.3,0.11
32,86.86,42.71,0.19
33,89.53,44.07,-0.12
34,93.04,45.4,-0.25
35,96.96,46.46,-0.29
36,99.51,47.79,-0.45
37,102.09,49.0,-0.54
38,104.2,50.67,-0.58
39,107.5,52.24,-0.7
40,110.31,54.15,-0.69
41,112.34,55.51,-0.79
42,114.72,56.77,-0.63
43,118.05,58.79,-0.69
44,120.26,59.69,-0.87
45,124.29,61.51,-0.88
46,127.37,63.01,-0.79
47,130.23,64.78,-0.73
48,133.59,66.44,-0.82
49,137.36,67.75,-0.92
50,140.8,68.29,-0.47
51,143.18,69.83,-0.51
52,145.87,71.22,-0.25
53,148.95,72.91,-0.22
54,151.57,74.07,-0.22
55,154.88,75.87,-0.16
56,158.35,77.94,-0.23
57,160.75,79.13,-0.31
58,163.26,80.28,-0.22
59,165.34,81.87,-0.19
60,168.63,83.43,-0.12
61,172.21,84.94,-0.06
62,175.38,86.09,-0.32
63,177.14,87.57,-0.32
64,179.84,88.58,-0.23
65,182.53,90.48,-0.31
66,184.72,92.26,-0.37
67,187.16,93.42,-0.34
68,190.61,94.78,-0.28
69,193.13,96.19,-0.35
70,195.16,98.17,-0.22
71,197.5,99.62,-0.14
72,199.73,100.45,-0.11
73,202.55,101.91,-0.01
74,205.27,103.23,0.04
75,207.54,104.5,0.1
76,210.7,105.83,-0.02
77,213.09,107.23,-0.06
78,216.47,108.77,-0.03
79,219.69,110.6,0.12
80,221.84,112.19,0.01
81,224.95,113.8,-0.16
82,227.64,114.93,-0.14
83,230.68,116.29,-0.16
84,234.54,117.57,-0.11
85,237.5,118.46,0.14
86,240.91,120.23,-0.06
87,243.4,121.64,0.04
88,245.41,123.64,0.14
89,249.22,124.82,0.12
90,252.35,126.66,0.17
91,255.67,127.78,0.01
92,259.56,128.84,-0.07
93,262.03,129.92,0.11
94,264.44,131.24,0.28
95,267.66,132.96,0.18
96,270.94,134.79,0.13
97,272.93,136.16,-0.0
98,275.75,138.16,-0.05
99,278.0,139.5,-0.18
100,279.95,140.46,-0.19
